1,在雷雨天時，玩家該如何移動?,正常速度,加緊腳步跑回家,n
2,閃電了，即將打雷，玩家該做什麼動作避難?,蹲下抱膝,無視,n
3,道路兩旁有樹木，即將打雷，該怎麼做?,離樹至少4公尺，且蹲下抱膝,無視,躲在樹下
4,道路旁有一棟具有尖角屋簷的房子，即將打雷，該怎麼做?,無視且做蹲下抱膝,躲到屋簷下避雨,n
5,在雷雨天時，道路上有一大灘水，該怎麼做?,直接踩過去,在水上進行避難動作,遠離水坑並且蹲下抱膝
6,當發生瓦斯外洩時，需不需要打開窗戶，讓空氣流通？,開窗,不用開窗,n
7,當發生瓦斯外洩時，是否可以使用電器？,可以,不可以,n
8,當一氧化碳中毒時，需要處理瓦斯外洩的來源嗎？,需要,不理會,n
9,當一氧化碳中毒時，該待在何處？,待在屋內,待在通風的地方,n
10,一氧化碳中毒時，待到通風處後，下一步該如何處理？,到通風處後調整呼吸,打119,做心肺復甦術
11,已經沒有意識的一氧化碳中毒患者，首先該為他做什麼？,鬆解頸部衣扣、領帶等束縛物，暢通呼吸道,做胸外按壓,n
12,確認患者心跳，發現患者沒心跳，做心肺復甦的手臂動作?,手臂彎曲,手臂打直,n
13,做心肺復甦的實施位置?,身體中央,心臟上,乳頭連線中點處
14,心肺復甦按壓速度?,一分鐘100~120下,一分鐘少於100下,一分鐘大於120下
15,聽到核災警報後，第一件事應該做什麼？,看新聞,關緊門窗,出門買食物
16,核災發生後，剛回到家，需不需要立刻洗澡?,立刻洗,不用立刻洗,n
17,核災發生後，換下來的外出衣服該如何處理?,丟入洗衣機清洗,裝入密封的袋子,n
18,核災發生後，肚子餓了想吃東西，需選擇哪種食物?,家裡有的東西都可以吃,吃有密封的食物,n
19,"核災發生後，當政府下令服用藥品時，應服用何種藥物? ",阿斯匹靈,碘片,n
20,成人的碘片服用方法?,每日1錠,每日1/2錠,每日1/4錠
21,孕婦的碘片服用方法?,每日1錠,每日1/2錠,每日1/4錠
22,3~12歲兒童的碘片服用方法?,每日1錠,每日1/2錠,每日1/4錠
23,未滿3歲兒童的碘片服用方法?,每日1錠,每日1/2錠,每日1/4錠
24,地震發生時，是否需先打開門?,趕緊開門，以免地震擠壓變形，出不去,避難,直接逃出屋外
25,地震發生時的應變動作？,雙肘雙膝跪姿、頭部壓低、雙手緊握桌腳,蹲下，雙手護頭,n
26,遇到地震時，附近有堅硬的桌子和建築物牆柱，理應首選誰？,建築物牆柱,堅硬的桌子,n
27,遇到地震時，看到黃金三角的躲避地點，是否躲進去避難?,是,否,n
28,發生地震下樓時，該搭電梯還是走樓梯?,樓梯,電梯,以上皆可
29,遇到地震時，附近有玻璃桌，是否可以躲進去?,可以,不可,n
30,地震發生時，避難地點旁邊可否有玻璃窗?,可以,不可,n
31,地震發生時，避難地點附近是否可有吊扇和吊燈?,可以,不可,n
32,地震發生時，附近有沒有固定的大型家具時，該怎麼辦？,躲在家具附近避難,逃離大型家具附近,n
33,火災發生時，在房間發現有煙霧時，此時門是關著的，應該如何開門？,需快速觀察門的整體外觀，並以手背測試門板上方位置或手把溫度,直接開門走出,n
34,火災發生時，出去房間後，發現外面都是濃煙，應該往哪裡逃生？,往屋外逃生,退回房間,n
35,火災發生時，決定退回房間，需選擇哪種房間避難？,無對外窗,有對外窗,n
36,火災發生時，是否可以躲在裝有塑膠門的浴室？,可以,不行,n
37,火災發生逃生時，應該拿濕毛巾摀住口鼻嗎？,應該,不應該,n
38,火災發生時，當在選擇避難房間，附近都是濃煙，移動時應採取什麼動作？,正常走路姿勢,低姿勢：匍匐前進,n
39,火災發生時，在進出每個門時，是否該隨手關門？,是,否,n
40,火災發生，當退回房間時，除了開窗以外，也應做什麼避難措施？,直接待在房間等待救援,打119，並用東西塞住門縫，到窗邊或陽台處揮舞鮮豔衣物讓消防人員知曉待救位置,n
41,火災發生時，應該選擇用什麼方式逃生？,樓梯,電梯,以上皆可
42,火災發生時，所處位置煙霧稀少，該如何動作？,往下逃生,往上逃生,待在原地避難
43,火災發生時，逃生通道(樓梯)佈滿白煙，該如何動作？,往下逃生,往上逃生,最近的避難場所進行避難
44,火災發生時，在煙層不明顯或無溫度的情況下，移動時應採取什麼動作？,快速進行逃生,低姿勢：匍匐前進,n
45,火災發生時，逃生通道(樓梯)佈滿黑煙，該如何動作？,往下逃生,往上逃生,最近的避難場所進行避難
